"","code","city","low","mid","high"
"1","ATXR","Atlanta","158104","158104-274038","274038"
"2","BOXR","Boston","303336","303336-464278","464278"
"3","CEXR","Cleveland","116639","116639-185938","185938"
"4","CHXR","Chicago","167932","167932-290500","290500"
"5","CRXR","Charlotte",NA,NA,NA
"6","CSXR","10",NA,NA,NA
"7","DAXR","Dallas",NA,NA,NA
"8","DEXR","Detroit",NA,NA,NA
"9","DNXR","Denver","248874","248874-365918","365918"
"10","LVXR","Las Vegas","165057","165057-248478","248478"
"11","LXXR","Los Angeles","444790","444790-712119","712119"
"12","MIXR","Miami","189759","189759-328282","328282"
"13","MNXR","Minneapolis","178265","178265-275421","275421"
"14","NYXR","New York","273767","273767-442174","442174"
"15","PHXR","Phoenix","165782","165782-263283","263283"
"16","POXR","Portland","236682","236682-343510","343510"
"17","SDXR","San Diego","420149","420149-622534","622534"
"18","SEXR","Seattle","279274","279274-451070","451070"
"19","SFXR","San Francisco","517531","517531-855974","855974"
"20","SPCS20R","U.S. 20-city index",NA,NA,NA
"21","TPXR","Tampa","115724","115724-210976","210976"
"22","WDXR","Washington, D.C.","324316","324316-511021","511021"
